 Number of Inputs | Biggest Input   | Transaction Value | Transaction Fee | Transaction ID 
 1                | 0.1             | 0.1               | 0.0005          | 0627052b6f28912f2703066a912ea577f2ce4da4caa5a5fbd8a57286c345c2f2 
 1                | 0.1             | 0.1               | 0               | 7957a35fe64f80d234d76d83a2a8f1a0d8149a41d81de548f0a65a8a999f6f18 
 1                | 0.1001          | 0.1001            | 0.0001          | 713eef22615ffb7c2f8f813e79a0d1e170d05a99218e291c33daca258f284d52 
 2                | 0.06049667      | 0.11725733        | 0.0001          | 8ce84ba0a010cac62005f529780c79a26f4ddd591025453ae702673784eb1d8c 
 2                | 0.06059667      | 0.06899667        | 0.0001          | 003a4fdf022cdce448ee30a1ee34c6642391482949cef363c0c0163c6a54dc57 
 2                | 0.06069667      | 0.07369667        | 0.0001          | dee6a93fad86762f973652e87c6933e7f81be0f5fd4de57b543a314a80b3a52f 
 2                | 0.06079667      | 0.07479667        | 0.0001          | 376a99a80d38a76f4b7289b24a69281581ae77f2f45acd33236bcf7689af02ab 
 2                | 0.06089667      | 0.07889667        | 0.0001          | db7a54037965c9c1eb8a2397f72cc8647b2cb0dd56d21a24e2fd5f3c1ea42779 
 2                | 0.06099667      | 0.06808315        | 0.0001          | f0fc7099694cc79ce87f6150ca8f7adacc9c11ad210aeedfe2725165c2c8c060 
 2                | 0.06109667      | 0.06609667        | 0.0001          | 3ada376036a43aeb9c47ff3af423b5a5c1fa6db98d89ef0f48ddab5d9418af00 
 2                | 0.06119667      | 0.07448667        | 0.0001          | e7ab9113e4a4e0faf36e54435bc535a8944c234621d6d5cd29508f8b577cf73d 
 2                | 0.06129667      | 0.07129667        | 0.0001          | 2a21d9c0d745759d34b1a76be6bbe7ce81c000bd9c0c71a6232fac6f1ee5102b 
 2                | 0.06139667      | 0.07739667        | 0.0001          | 1edc6eed4e155d30990caef38171052a412cbabf70bfbc8d2626471d4ddebaa0 
 2                | 0.06149667      | 0.08149667        | 0.0001          | 2dacd55f86b7e15d764ad55379adec030a5d272bd9a4c8cf16f38cbd6ed7be11 
 1                | 0.06666667      | 0.06666667        | 0.0001          | 15fbb55ac64e16c50efc908ada81aa77943289fa257de8676a45d1205a582e77 
 1                | 0.472           | 0.472             | 0.0001          | a92a9a0b2a74ee37ddbdc417332d2ffed7e7c74d96dbb81088b663d3c3201769 
 6                | 0.3548          | 0.48255455        | 0.0001          | 9ade4bdd8e91170739c9c7f41dc2ea3c02e55973f3e055e0c6d91a1e4a350604 
 1                | 0.4639          | 0.4639            | 0.0001          | 9f413725e8a6d38f2549573965c52b1abc990394733760465d7ffc252d419a93 
 1                | 0.525           | 0.525             | 0.0001          | 85f3831ad626aa17d635377ce5587e99444b91a9601ddc6e0beb8646ab234caa 
 1                | 1               | 1                 | 0               | 9398adc5d83876764481b2c1eed7632d68d93f920290b38e12aff1e7d3a17f03 
 1                | 4.30962348      | 4.30962348        | 0               | c9932a76a18fcffb99cb944e8f16f16eea521c1fbda68a8e4fa8788b5f9cec58 
 1                | 16.60021531     | 16.60021531       | 0.0005          | 266d71d7c4b116adfe395d6da48cd6c7d7eb680f772d3f0895b8055f4d8e3419 
 1                | 45.47168084     | 45.47168084       | 0.0005          | 4664b604b6dacc1173b356b8bf78b9760d33058a5d4a215e9a883946b56918b9 
 1                | 53.05305369     | 53.05305369       | 0.0005          | 9e674b8df02ef80abcae395e9025fb22e6843da9d5d0df87eb234ff2c54c551c 
 1                | 60.6463537      | 60.6463537        | 0.0005          | 2a527dfe08d6d148e024f0b83ebdeba8a91f0d01f6201ba9404277d66de494aa 
 1                | 62.31596823     | 62.31596823       | 0.0005          | cf75de8d544236f6c896722925de0ca261aa6b4d1fbcc330ba7b822f042deeb3 
 1                | 72.37500823     | 72.37500823       | 0.0005          | b7ec3d376553f6100396446a165c7e166f3f3ef3c414646d59b790119aacdcde 
 1                | 80.38450823     | 80.38450823       | 0.0005          | bd5a1bce9ca61929bed4b0ec8b95f735295910c068db80edaf83f6b6965f9f1f 
 1                | 80.86500823     | 80.86500823       | 0.0005          | 83ca42a60857eedf50875b60b0f090329f4890fef9df4c7ae0e2430b13d051a7 
 1                | 82.22636799     | 82.22636799       | 0.0005          | a1a21d097daa3c90d0a70526df700df284905ab9b16f49d87574dd1e58cc69ef 
 1                | 90.79987799     | 90.79987799       | 0.0005          | f9d12e60c09223a823060f4379e67b5c72c4d839039409c48663b86c2f363354 
 1                | 99.1356759      | 99.1356759        | 0.0005          | b427e29299f9201f808f4c3c0f27645dccf5f9322467b024f16a2f5bb774114a 
 1                | 108.06806882    | 108.06806882      | 0.0005          | 25fb67e519f0f77043278813c25a724813faeafd6ae95fce3df210f2e42c28de 
 1                | 115.66676882    | 115.66676882      | 0.0005          | f110dd88d9f2e9c40432f33e7ff1c0a77314a968aebe9ba9c3a4d48cbeab5faa 
 1                | 123.95671283    | 123.95671283      | 0.0005          | a4fff145830164a07a60eeb1952b08c87a405193a99d35b9f2388fc4bdff612c 
 1                | 124.37073338    | 124.37073338      | 0.0005          | 3e7eae41b453dbe7d84531463329a981ed7c9f8ce075b0100db2f52f8eb687da 
 1                | 128.36609611    | 128.36609611      | 0.0005          | e829ba1f750782ad28acef5651ce717e969b6165f4b08568d902daa48ca6cb0a 
