 Number of Inputs | Biggest Input   | Transaction Value | Transaction Fee | Transaction ID 
 11               | 50000           | 550000            | 0               | 29a3efd3ef04f9153d47a990bd7b048a4b2d213daaa5fb8ed670fb85f13bdbcf 
 1                | 50000           | 50000             | 0               | 3fd4cb75e272a5e68524d15df2d16a7b926d4998c2f1bc60a6f76083eeaba404 
 2                | 39655           | 75354             | 0               | 4e598fea2110bc7f7b1c433db4f9a489ff1a2ba68874000fe9ac8da186c318b7 
 1                | 424242.42424242 | 424242.42424242   | 0               | 7a2a6f66e87ed4e72d85ba7a82eda1572605c3330c461e171f58d7ff2763ac63 
 9                | 50000           | 442000            | 0               | 3a1b9e330d32fef1ee42f8e86420d2be978bbe0dc5862f17da9027cf9e11f8c4 
 1                | 182077.72654321 | 182077.72654321   | 0.01            | b1a62f2a187ba62fb96b4b1fa88fb3e3fa463b90acae9a8de479b402e247a53b 
 1                | 232077.73654321 | 232077.73654321   | 0.01            | dd7da6014761106e3cde3ea654ab0ba02efec042f0cb0941bce03c16e7b3776a 
 1                | 282077.74654321 | 282077.74654321   | 0.01            | 18f6f19fba6ee4ea4ac465b4314409dccd06a1634ae1f2e27aa601e99be8d740 
 1                | 332077.75654321 | 332077.75654321   | 0.01            | d180ef792756fedb3701a625e8761faa78aff6d8390c6ee88f0c2547f766c80f 
 1                | 382077.76654321 | 382077.76654321   | 0.01            | 89ff26e574c0b7d143ff333e09d05ce7bde9c5e39cd0136d198f47fc4cde928e 
 1                | 432077.76654321 | 432077.76654321   | 0               | 7e7839a52f7eab5841e21eb597bd037ec29aac28b38204c6b5a5f29829f1cc48 
 1                | 432109.87654321 | 432109.87654321   | 0               | 84f96975ea88d317676771a482c71f39ff53beda790c89c07ae82e427b4d090f 
 113              | 280000          | 432110.10745232   | 0.22            | a09ac44c71a314316431f53dcf51d5c0ffdf85b738a6b07f622012ee41b38c16 
 4                | 100000          | 280030.25         | 0               | da88c9594b1ab8693399dbd2d8c0dfef095d19a80949b4030ece2e884217e6fd 
 1                | 300000          | 300000            | 0               | 8d2ad41c32df14005b8c737aa1a85640f53c77bb6fb63b31046cd233ce317344 
 3                | 230000          | 300000            | 0               | a59ab6344a8dd71789c93d28c92b85cba4a48cfae22d8da7e4e6028f9418090f 
 1                | 235000          | 235000            | 0               | 9fd242ce71d1a0e2e276180d309f035a8837420606fd2124cc1dc37e41090bd5 
 1                | 240000          | 240000            | 0               | 722c6b2b56f269f33a1b91d04a4742428ad475af90da01c14a3d9b87bdf9dc2a 
 1                | 245000          | 245000            | 0               | 96f61fcc41b8bb0fed331033b7c572f017e7c30c5d5e12580e17174f9a6ac549 
 2                | 225000          | 250000            | 0               | ddfac6bdc33b48f8a4252e29847bb2b432509356395299640ffe12663089c2a0 
 1                | 250000          | 250000            | 0               | 1ab818a83a21ae2d34fddb87d14c3f7c40126fe9d8a43f079b5697473e8e4e45 
 2                | 200000          | 250000            | 0               | 608faae3b734f2558210f6c8ef9d10f44b9fd10b11bb1e30e96625f0f8b5cca2 
 3                | 172380.04       | 200000            | 0               | dce922683977d1b1b4713fec3abd7a0324438de8a9c59c8b9004048329d61570 
 1                | 175815.27       | 175815.27         | 0               | 0bde300106882ff2b98081419aa7465a64c00fbc4c2d573bf6593da8dc4cb489 
 1                | 188009.11       | 188009.11         | 0               | 3aeb46aa1342e150259a031d6bdc7dee73e1eed03bcc52e98390f6a57dfc2efb 
 1                | 189317.59       | 189317.59         | 0               | 24af9dcddffdc06fa14ab33e0c77c85c13b7ed085574c6ee54cc2a3252241b20 
 1                | 200000          | 200000            | 0               | 9f76714b513d903bbc4af05cc0b5a05402e5f61fc38d3a692bbf72770e9715c9 
 96               | 84860           | 200000.18         | 0.18            | ab16c3aebf495708c2202fb21dd29cca53470cfe5aac2492b2730c1be6a82c8b 
 1                | 250000          | 250000            | 0               | 62fec42dd4370e0aeae88b3fe2a9970bb56a8d4bf0cd0693268b689de693c09c 
 1                | 400000          | 400000            | 0               | 3bda4918180fd55775a24580652f4c26d898d5840c7e71313491a05ef0b743d8 
 181              | 90000           | 400000.33         | 0.33            | 8f8210694d3631a88ff410c573d80caf57db1d8af397bd47687aa4e4c1802464 
 1                | 90000           | 90000             | 0               | b9a0961c07ea9a28bdfa950556bd96f71d9ecf6e42d19c08cb2ee331a30d30cb 
 3                | 55000           | 96999             | 0               | 1ec28eee10a0fc07fcad63803c785cf98df2e7f2184705208b744254d60cca08 
 2                | 35000           | 55000             | 0               | 70dab592227cdcc99eae56305bfc4a2e6d6deb3bcda051bee0b491730cff8eae 
 8                | 20000           | 35000             | 0               | ba62e528e1eae64a6a7e2cb85cf928c2cbe3ce92e58c2cd099f06b08607e1527 
 2                | 10000           | 20000             | 0               | 0a96a1d6dbc0897a29e310d11efa8f74fe67bde3f79b65fefb7b21f49cddf021 
 1                | 20000           | 20000             | 0               | 461f91a98bbe2f269d8af938039e185287761677f0418fcc8238c5f3dca72935 
 569              | 1850.55         | 20001.37          | 1.37            | c98546d415d502e4f9d9d3df3e6a9e3f5183ba5cd6416539e052749ec35dc2fc 
 38               | 50              | 1850.55           | 0               | c6d1427e7280f82ca51e27ee45c2a829897405c8dcc10a1b52c65d536424ab34 
 1                | coinbase        | 50                | 0               | 0990796fd4be375445adc682e8d854f98c638a754133e81dfb6f5fef4d888202 
